Game,Total_Sales,Copies,Publisher,Year,Console,JP_Sales,NA_Sales,Other_Sales,EU_Sales,User_Score,Critic_Score
Puzzle Bobble Pocket,,,Taito,2004,PSP,,,,,,
Puzzle Bobble VS,,,Taito,2003,NGage,,,,,,2.2
Puzzle Bots,,,Wadjet Eye Games,2010,PC,,,,,,
Puzzle Boy,,,Nippon Telenet,1991,PCE,,,,,,
Puzzle Challenge: Crosswords and More!,,,Crave Entertainment,2009,PSN,,,,,,
Puzzle Chronicles,,,Konami,2010,PC,,,,,,
Puzzle Chronicles,,,Konami,2010,PSN,,,,,,
Puzzle Chronicles,,,Konami,2010,XBL,,,,,,
Puzzle Quest 2,,,D3 Publisher,2010,XBL,,,,,,
Puzzle Chronicles,,,Konami,2010,DSiW,,,,,,
Puzzle Chronicles (PSP),,,Konami,2010,PSN,,,,,,
Puzzle City,,,eGames,2008,PC,,,,,,
Puzzle DeFusion,,,Microsoft,2008,XBL,,,,,,
Puzzle Dimension,,,Unknown,2010,PC,,,,,,
Puzzle Dimension,,,Unknown,2011,PSN,,,,,,8
Puzzle Quest 2,,,Namco Networks America,2010,PC,,,,,,
Puzzle Quest 2,,,Unknown,,PSP,,,,,,
Puzzle Quest 2,,,Unknown,,PSN,,,,,,
Puzzle Quest: Challenge of the Warlords,,,D3 Publisher,2007,XBL,,,,,,9.1
Puzzle Quest: Challenge of the Warlords,,,D3 Publisher,2008,PSN,,,,,,
Puzzle Fever,,,Korner Entertainment,2011,DSiW,,,,,,
Puzzle Guild: The Dragon War,,,Unknown,2014,And,,,,,,
Puzzle Guzzle,,,Agetec,2011,PSN,,,,,,
Puzzle Iroiro: Gekkan Crossword House Vol. 1,,,Nintendo,2009,DSiW,,,,,,
Puzzle Quest: Challenge of the Warlords,,,D3 Publisher,2007,PC,,,,,,8.6
Puzzle Quest: Challenge of the Warlords,,,Unknown,2011,DSiW,,,,,,
Puzzle Quest: Challenge of the Warlords,,,D3Publisher,2011,3DS,,,,,,
Puzzle Quest: Challenge of the Warlords (PSP),,,D3 Publisher,2008,PSN,,,,,,
Puzzle Quest: Galactrix,,,D3 Publisher,2009,PSN,,,,,,
Puzzle Iroiro: Gekkan Crossword House Vol. 2,,,Nintendo,2009,DSiW,,,,,,
Puzzle Iroiro: Gekkan Crossword House Vol. 3,,,Nintendo,2009,DSiW,,,,,,
Puzzle Iroiro: Gekkan Crossword House Vol. 4,,,Nintendo,2009,DSiW,,,,,,
Puzzle Iroiro: Gekkan Crossword House Vol. 5,,,Nintendo,2009,DSiW,,,,,,
Puzzle Iroiro: Gekkan Crossword House Vol. 6,,,Nintendo,2009,DSiW,,,,,,
Puzzle League Express,,,Nintendo,2009,DSiW,,,,,,
Puzzle Quest: Galactrix,,,D3 Publisher,2009,XBL,,,,,,
Puzzle Retreat,,,The Voxel Agents,2013,And,,,,,,
Puzzle Rocks,,,Cinemax,2011,DSiW,,,,,,5.5
Puzzle Scape,,,Got Game Entertainment,2007,PSP,,,,,,
Puzzle Scape Mini,,,Farmind,2009,PSN,,,,,,
Puzzle Scape Mini,,,Farmind,2009,PSN,,,,,,
Puzzle Mania,,,Human Entertainment,1999,PS,,,,,,
Puzzle Mania 2,,,Human Entertainment,1999,PS,,,,,,
Puzzle Maniacs,,,505 Games,2006,PS2,,,,,,
Puzzle Series Vol. 1: Jigsaw Puzzle,,,Hudson Soft,2006,DS,,,,,,
Puzzle Series Vol. 2: Crossword,,,Hudson Soft,2006,DS,,,,,,
Puzzle Series Vol. 5: Slither Link,,,Hudson Soft,2006,DS,,,,,,
Puzzle Series Vol. 8: Nankuro,,,Hudson Soft,2006,DS,,,,,,
Puzzle Mate: Crossword Mate,,,Compile Heart,2008,DS,,,,,,
Puzzle Mate: Nanpure Mate,,,Compile Heart,2008,DS,,,,,,
Puzzle Mate: Oekaki Mate,,,Compile Heart,2008,DS,,,,,,
Puzzle Nintama Rantarou: Ninjutsu Gakuen Puzzle no Maki,,,Culture Brain,1996,SNES,,,,,,
Puzzle Pandemonium,,,Microsoft,2009,XBL,,,,,,
Puzzle Series Vol.7: Crossword 2,,,Hudson Soft,2006,DS,,,,,,
Puzzle Series: Jigsaw Puzzle Koinu Mekuri Hen,,,Hudson Soft,2006,DS,,,,,,
Puzzle Series: Jigsaw Puzzle: Koneko Mekuri,,,Hudson Soft,2006,DS,,,,,,
Puzzle to Go: Baby Animals,,,Tivola,2011,DSiW,,,,,,
Puzzle to Go: Diddl,,,Tivola,2010,DSiW,,,,,,
Puzzle to Go: Planets and Universe,,,Tivola,2011,DSiW,,,,,,
Puzzle to Go: Sightseeing,,,Tivola,2011,DSiW,,,,,,
Puzzle to Go: Wildlife,,,Tivola,2010,DSiW,,,,,,
Puzzle?,,,Microsoft,2009,XBL,,,,,,
Puzzled,,,D4 Enterprise,2011,VC,,,,,,
Puzzled,,,SNK,1991,NG,,,,,,
Puzzled Rabbit,,,Microsoft,2011,XBL,,,,,,
Puzzlegeddon,,,Pieces Interactive,2008,PC,,,,,,
Puzzlegeddon,,,Tecmo,2009,PSN,,,,,,
Puzzlegeddon,,,Tecmo,2009,XBL,,,,,,6.4
Puzzler World,,,Atari,2010,PC,,,,,,
Puzzler World 2,,,Unknown,2011,PC,,,,,,
Puzzlix,,,Microsoft,2009,XBL,,,,,,
Puzznic,,,Taito,1990,NES,,,,,,
Puzznic,,,Taito,1990,GB,,,,,,
Puzznic,,,Mud Duck Productions,2003,PS,,,,,,
Puzznic,,,Taito,1990,PCE,,,,,,
Puzzwords,,,Microsoft,2009,XBL,,,,,,
PuzzXXI,,,Microsoft,2009,XBL,,,,,,
Pwn Age: 31337 AD,,,Unknown,,XBL,,,,,,
Pwned,,,Microsoft,2009,XBL,,,,,,
Pyramid,,,American Video Entertainment,1992,NES,,,,,,
Pyramid Intruder,,,Taito,1995,3DO,,,,,,
Pyramid Solitaire Saga,,,King.com,2014,And,,,,,,
Pyramids,,,Enjoy Gaming,2011,3DS,,,,,,7.5
Pyramids of Ra,,,Unknown,1993,GB,,,,,,
Pyro Jump,,,Pinpin Team,2014,And,,,,,,
PyroBlazer,,,Unknown,,Wii,,,,,,
PyroManic - Solo,,,Microsoft,2009,XBL,,,,,,
Pyuu to Fuku! Jaguar Byuu to Deru! Megane-Kun,,,Konami,2004,GBA,,,,,,
Q Billion,,,Seta Corporation,1990,GB,,,,,,
Q*Bert,,,Hasbro Interactive,2000,DC,,,,,,5.4
Q*bert,,,Sony Online Entertainment,2007,PSN,,,,,,
Q*bert,,,Jaleco,1992,GB,,,,,,
Q*bert,,,Ultra Games,1989,NES,,,,,,
Q*bert,,,Parker Bros.,1983,5200,,,,,,
Q*bert,,,Hasbro Interactive,1999,PC,,,,,,
Q*bert (GBC),,,Hasbro Interactive,2000,GB,,,,,,
Q*bert 2005,,,Sony Online Entertainment,2005,PC,,,,,,
Q*bert 3,,,NTVIC,1993,SNES,,,,,,
Q*bert's Qubes,,,Parker Bros.,1984,2600,,,,,,
Q*bert: Rebooted,,,Sideline Amusements,2014,Linux,,,,,,
Q*bert: Rebooted,,,Sideline Amusements,2014,OSX,,,,,,
Q*bert: Rebooted,,,Sideline Amusements,2014,PC,,,,,,
Q*bert: Rebooted,,,LOOT Entertainment,2015,PS3,,,,,,
Q*bert: Rebooted,,,LOOT Entertainment,2015,PSV,,,,,,
Q*bert: Rebooted,,,LOOT Entertainment,2015,PS4,,,,,,
Qb,,,XYPE,2001,2600,,,,,,
QBEH-1: The Atlas Cube,,,Unknown,2014,PC,,,,,,
QbTron 3D,,,Microsoft,2009,XBL,,,,,,
Qix,,,Telegames,1992,Lynx,,,,,,
Qix,,,Atari,1982,5200,,,,,,
Qix,,,Taito,1991,NES,,,,,,
Qix,,,Taito,1989,PC,,,,,,
Qix,,,Nintendo,2011,3DS,,,,,,
Qix 2000,,,Success,2000,PS,,,,,,
Qix Adventure,,,Event Horizon Software,2000,GB,,,,,,
Qix Neo,,,Mud Duck Productions,2003,PS,,,,,,
Qix++,,,Taito,2009,XBL,,,,,,4.2
Qix++ (PSP),,,Taito,2010,PSN,,,,,,
QJ,,,Unknown,,WW,,,,,,
Qlione Evolve,,,Sony Online Entertainment,2010,PSN,,,,,,
QuackShot starring Donald Duck,,,Sega,1991,GEN,,,,,,
Quad Challenge,,,Namco,1991,GEN,,,,,,
Quad Desert Fury,,,Majesco,2003,GBA,,,,,,
Quadrilateral Cowboy,,,Blendo Games,2015,Linux,,,,,,
Quadrilateral Cowboy,,,Blendo Games,2015,OSX,,,,,,
Quadrilateral Cowboy,,,Blendo Games,2015,PC,,,,,,
Quadrun,,,Atari,1983,2600,,,,,,
QuadSeeker,,,11 bit studios,2014,PC,,,,,,
QuadSeeker,,,11 bit studios,2014,And,,,,,,
QuadSeeker,,,11 bit studios,2014,Linux,,,,,,
QuadSeeker,,,11 bit studios,2014,OSX,,,,,,
QuadTrix,,,Microsoft,2009,XBL,,,,,,
Quake,,,id Software,1996,PC,,,,,,9.4
Quake,,,Sega,1997,SAT,,,,,,
Quake Arena Arcade,,,Bethesda Softworks,2010,XBL,,,,,,7.1
Quake II,,,Activision,1997,PC,,,,,,9
Quake II Mission Pack: Ground Zero,,,Activision,1998,PC,,,,,,
Quake II Mission Pack: The Reckoning,,,Activision,1998,PC,,,,,,
Quake II: Extremities,,,Activision,1999,PC,,,,,,
Quake III Arena,,,Sega,2000,DC,,,,,,9.3
Quake III: Team Arena,,,Activision,2000,PC,,,,,,8
Quake Live,,,id Software,2009,PC,,,,,,
Quake Mission Pack No. 1: Scourge of Armagon,,,Activision,1997,PC,,,,,,
Quake Mission Pack No. 2: Dissolution of Eternity,,,Activision,1997,PC,,,,,,
Quake: Team Fortress,,,id Software,1996,PC,,,,,,
QUALIA 3: Multi Agent,,,Masaya,2014,PC,,,,,,
Quantum Conundrum,,,Square Enix,2012,X360,,,,,,
Quantum Gate I: Akuma no Joshou,,,Gaga,1995,SAT,,,,,,
QuantZ,,,Gamerizon,2008,PC,,,,,,
Quarantine,,,GameTek,1994,3DO,,,,,,
Quarantine,,,GameTek,1994,PC,,,,,,
Quarantine,,,Microsoft,2010,XBL,,,,,,
Quarrel,,,Unknown,2012,XBL,,,,,,
Quarterback Attack with Mike Ditka,,,Digital Pictures,1995,SAT,,,,,,
Quarterback Attack with Mike Ditka,,,Digital Pictures,1996,3DO,,,,,,
Quartet,,,Sega,1987,MS,,,,,,
Quartett! The Stage of Love,,,Princess Soft,2006,PS2,,,,,,
Quarth,,,Konami,1990,NES,,,,,,
Quarth,,,Konami,1990,GB,,,,,,
Quarth,,,Konami,2010,VC,,,,,,
Quarx,,,Microsoft,2008,XBL,,,,,,
Quattro Adventure,,,Camerica,1991,NES,,,,,,
Quattro Arcade,,,Camerica,1992,NES,,,,,,
Quattro Sports,,,Camerica,1991,NES,,,,,,
Queen At Arms,,,Aqualuft Games,2015,Linux,,,,,,
Queen At Arms,,,Aqualuft Games,2015,OSX,,,,,,
Queen At Arms,,,Aqualuft Games,2015,PC,,,,,,
Queen's Crown,,,Tribute Games,2014,PC,,,,,,
Queen's Crown,,,Tribute Games,2014,PSV,,,,,,
Queen: The eYe,,,Electronic Arts,1998,PC,,,,,,
Quell Memento,,,Fallen Tree Games,2013,And,,,,,,
Quell Memento,,,Fallen Tree Games,2013,PSV,,,,,,
Quell Reflect,,,Fallen Tree Games,2011,And,,,,,,
Quell Reflect,,,Unknown,2014,3DS,,,,,,
Quest for Camelot,,,Titus,1998,GB,,,,,,
Quest for Fame,,,IBM,1995,PC,,,,,,
Quest for Fame,,,Sony Computer Entertainment,1997,PS,,,,,,
Quest For Glory I: So You Want to Be a Hero,,,Sierra Entertainment,1989,PC,,,,,,
Quest for Glory I: So You want to Be a Hero?,,,Sierra Entertainment,1989,PC,,,,,,
Quest for Glory II: Trial by Fire,,,Sierra Entertainment,1991,PC,,,,,,
Quest for Glory III: Wages of War,,,Sierra Entertainment,1992,PC,,,,,,
Quest for Glory IV: Shadows of Darkness,,,Sierra Entertainment,1993,PC,,,,,,
Quest for Glory V: Dragon Fire,,,Sierra Entertainment,1998,PC,,,,,,
Quest for Karma,,,Unknown,,PC,,,,,,
Quest For Quintana Roo,,,Sunrise Interactive,1984,2600,,,,,,
Quest for Quintana Roo,,,Sunrise Interactive,1984,5200,,,,,,
Quest for the Shaven Yak starring Ren & Stimpy,,,Sega,1994,GG,,,,,,
Quest for the Shaven Yak Starring Ren & Stimpy,,,Tec Toy,1993,MS,,,,,,
Quester (Arcade),,,Namco Bandai,2009,VC,,,,,,
Questprobe Featuring The Hulk,,,Unknown,1984,PC,,,,,,
Questprobe Featuring The Human Torch and The Thing,,,Unknown,1985,PC,,,,,,
QuestRun,,,Digerati Distribution,2014,OSX,,,,,,
Qui Qui,,,Mahou,1999,GB,,,,,,
Quick Escape - Cellar,,,Mobest Media,2012,And,,,,,,
Quick Escape - Library,,,Mobest Media,2012,And,,,,,,
Quick Fill Q,,,Agetec,2012,DSi,,,,,,
Quick Fill Q,,,Agetec,2012,3DS,,,,,,
Quick Freecell,,,Jupiter Corporation,2013,3DS,,,,,,
Quick Pick,,,Unknown,,DSiW,,,,,,
Quick Step,,,Imagic,1983,2600,,,,,,
Quick Tap Reflex,,,MinMax Games Ltd.,2015,OSX,,,,,,
Quick Tap Reflex,,,MinMax Games Ltd.,2015,PC,,,,,,
QuickDraw,,,Microsoft,2011,XBL,,,,,,
QuickPick Farmer,,,Unknown,2010,DSiW,,,,,,
Quink,,,Unknown,1984,PC,,,,,,
Quiz Aammegami-Sama Tatakau Tsubasa to Tomoni,,,Sega,2000,DC,,,,,,
Quiz Animania,,,Sony Computer Entertainment,2010,PSN,,,,,,
Quiz Daisousa Sen Part 2: Quiz Meintantei Neo Geo,,,SNK,1992,NG,,,,,,
Quiz Daisousa Sen: The Last Count Down,,,SNK,1991,NG,,,,,,
Quiz King of Fighters,,,SNK,1995,NG,,,,,,
Quiz King of Fighters (CD),,,Saurus,1995,NG,,,,,,
Quiz Kirameki Star Road,,,Taito,2006,DS,,,,,,
Quiz no Tabi: Tetsudou Ryojou Hen,,,Success,2008,DS,,,,,,
Quiz Ongaku no Jikan: Joysound Wii Super DX Senyou Kyoku Navi Dzuke,,,Hudson Soft,2010,DSiW,,,,,,
Quiz Scramble Special,,,Sega,1992,SCD,,,,,,
Quiz Sekai wa Show by Shoubai!!,,,Takara,1992,GB,,,,,,
Quiz Tokou Shashin,,,Unknown,1992,PCE,,,,,,
Quiz! Nihongo-Ou,,,Success,2006,DS,,,,,,
Quo Vadis: Iberukatsu Ikusaeki,,,Glams,1997,PS,,,,,,
Qurare: Magic Library,,,Smilegate Megaport,2016,PS4,,,,,,
Qvadriga,,,Slitherine,2014,PC,,,,,,
R-15 Portable,,,Kadokawa Shoten,2011,PSP,,,,,,
R-Type,,,NEC,1989,PCE,,,,,,
R-Type,,,Hudson Soft,2006,VC,,,,,,
R-Type,,,Irem Software Engineering,1991,GB,,,,,,
R-Type,,,Sega,1988,MS,,,,,,
R-Type,,,Irem Software Engineering,2011,PSN,,,,,,
R-Type (MS),,,Sega,2009,VC,,,,,,
R-Type Command,,,Atlus,2009,PSN,,,,,,
R-Type Complete CD,,,Irem Software Engineering,1991,PCE,,,,,,
R-Type Delta,,,Sony Computer Entertainment,2009,PSN,,,,,,
R-Type Dimensions,,,Tozai Games,2009,XBL,,,,,,7.8
R-Type DX,,,Nintendo,1999,GB,,,,,,
R-Type II,,,Hudson Soft,1988,PCE,,,,,,
R-Type II,,,Irem Software Engineering,1992,GB,,,,,,
R-Type II,,,Hudson Soft,2007,VC,,,,,,
R-Type III: The Third Lightning,,,Jaleco,1994,SNES,,,,,,
R-Type III: The Third Lightning,,,Irem Software Engineering,2007,VC,,,,,,
R-Type Tactics II: Operation Bitter Chocolate,,,Irem Software Engineering,2009,PSN,,,,,,
R-Types,,,Sony Computer Entertainment,2008,PSN,,,,,,
R.B.I. Baseball 14,,,MLB.com,2014,X360,,,,,,
R.B.I. Baseball 14,,,MLB.com,2014,PS4,,,,,,
R.B.I. Baseball 14,,,MLB.com,2014,PS3,,,,,,
R.B.I. Baseball 14,,,MLB.com,2014,XOne,,,,,,
R.B.I. Baseball 15,,,MLB.com,2015,PC,,,,,,
R.B.I. Baseball 15,,,MLB.com,2015,XOne,,,,,,
R.B.I. Baseball 15,,,MLB.com,2015,PS4,,,,,,
R.B.I. Baseball 15,,,MLB.com,2015,OSX,,,,,,
R.B.I. Baseball 2016,,,MLB.com,2016,PC,,,,,,
R.C. Grand Prix,,,Absolute Entertainment,1992,GG,,,,,,
R.C. Grand Prix,,,Seismic,1989,MS,,,,,,
R.C. Pro-Am II,,,Tradewest,1992,NES,,,,,,
R.U.R.U.R.,,,Light,2007,PC,,,,,,
R.U.R.U.R.: Petit Prince,,,Views,2010,PSP,,,,,,
R.U.S. Real Ufo Simulator,,,FobTi Interactive,2014,And,,,,,,
R.U.S.E.,,,Ubisoft,2011,XBL,,,,,,8
R.U.S.E. - The Chimera Pack,,,Ubisoft,2011,PC,,,,,,
R.U.S.E. - The Chimera Pack,,,Ubisoft,2011,XBL,,,,,,
R.U.S.E. - The Chimera Pack,,,Ubisoft,2011,PSN,,,,,,
R/C Helicopter,,,Summitsoft Entertainment,2002,PC,,,,,,
R2: Rendering Ranger,,,Virgin Interactive,1995,SNES,,,,,,
R4: Ridge Racer Type 4,,,Sony Computer Entertainment,2011,PSN,,,,,,
R?MJ: The Mystery Hospital,,,Bandai,1997,PS,,,,,,
Rabbids Big Bang,,,Ubisoft,2013,And,,,,,,
Rabbids Lab,,,Ubisoft,2009,WW,,,,,,
Rabbids Rumble,,,Ubisoft,2012,3DS,,,,,,
Rabbit Hole 3D,,,Unknown,2014,Linux,,,,,,
Rabbit Hole 3D,,,Unknown,2014,OSX,,,,,,
Rabbit Hole 3D,,,Unknown,2014,PC,,,,,,
Rabbit Transit,,,Unknown,1983,2600,,,,,,
Rabbit x Labyrinth Episode 2,,,SilverStar,2011,DSiW,,,,,,
Rabi Labi Gaiden Witch's Cat,,,SilverStar,2011,3DS,,,,,,
Rabi Laby,,,Agetec,2011,DSiW,,,,,,
Rabi x Laby 3,,,Agetec,2014,3DS,,,,,,
Rabid Gophers,,,Microsoft,2009,XBL,,,,,,
Rabio Lepus Special,,,Video System,1990,PCE,,,,,,
Race,,,Unknown,,GIZ,,,,,,
RACE 07: Official WTCC Game,,,Viva Media,2007,PC,,,,,,
Race Days,,,GameTek,1994,GB,,,,,,
Race Drivin',,,THQ,1992,SNES,,,,,,
Race Drivin',,,THQ,1993,GB,,,,,,
Race The Traffic,,,Unknown,2014,And,,,,,,
Race To Mars,,,Intermarum,2015,PC,,,,,,
Race To The Line,,,Enjoy Gaming ltd.,2013,3DS,,,,,,
Race: Auto Racing,,,Sears,1977,2600,,,,,,
RACE: The WTCC Game,,,Viva Media,2006,PC,,,,,,
RACE: The WTCC Game - Caterham Expansion,,,Eidos Interactive,2007,PC,,,,,,
Racedriver GRID & Colin McRae: DiRT Double Pack,,,Codemasters,2010,X360,,,,,,
Racer Mini Yonku: Japan Cup,,,Konami,1989,NES,,,,,,
Racer Pack: Masters of the Air & Road,,,Unknown,2008,PC,,,,,,
Racers' Islands: Crazy Arenas,,,Zallag,2010,WW,,,,,,
Racers' Islands: Crazy Racers,,,Zallag,2010,WW,,,,,,
Racin' Ratz,,,Mattel Interactive,2000,GB,,,,,,
Racing,,,Agetec,2000,PS,,,,,,
Racing Aces,,,Sega,1993,SCD,,,,,,
Racing Damashii,,,Irem Software Engineering,1991,PCE,,,,,,
Racing Damashii,,,Irem Software Engineering,1991,GB,,,,,,
Racing Fever,,,Neko Entertainment,2005,GBA,,,,,,
Racing Pak,,,Atari,1978,2600,,,,,,
Rack N Ruin,,,Lyn And Line LLC,2016,PS4,,,,,,
Racket Attack,,,Jaleco,1988,NES,,,,,,
Rackets & Rivals,,,Palcom,1993,NES,,,,,,
Racquetball,,,Apollo,1981,2600,,,,,,
Rad Racer II,,,Square,1990,NES,,,,,,
Rad Racket: Deluxe Tennis II,,,American Video Entertainment,1991,NES,,,,,,
Radar,,,Unknown,,2600,,,,,,
Radar Lock,,,Atari,1989,2600,,,,,,
Radar Mission,,,Nintendo,1991,GB,,,,,,
Radar Mission,,,Nintendo,2011,3DS,,,,,,
Radar Mission (3DS VC),,,Unknown,,3DS,,,,,,
Radia Senki: Reimeihen,,,Tecmo,1991,NES,,,,,,
Radial Gun,,,Microsoft,2009,XBL,,,,,,
radiangames Ballistic,,,Microsoft,2011,XBL,,,,,,
radiangames Crossfire,,,Microsoft,2010,XBL,,,,,,6
radiangames Crossfire 2,,,Microsoft,2010,XBL,,,,,,
radiangames Fireball,,,Microsoft,2010,XBL,,,,,,
radiangames Fluid,,,Microsoft,2010,XBL,,,,,,
radiangames Inferno,,,Microsoft,2010,XBL,,,,,,
radiangames JoyJoy,,,Microsoft,2010,XBL,,,,,,
Radiant Silvergun,,,Treasure,2011,XBL,,,,,,8.6
Radical Dreamers: Nusumenai Houseki,,,Square,1996,SNES,,,,,,
Radical Psycho Machine Racing,,,Interplay,1991,SNES,,,,,,
Radical Rex,,,Activision,1994,SNES,,,,,,
Radical Rex,,,Activision,1994,SCD,,,,,,
Radio Helicopter,,,505 Games,2004,PS2,,,,,,
Radio Helicopter II,,,505 Games,2006,PS2,,,,,,
Radirgy,,,Milestone,2006,DC,,,,,,
Radirgy Generic,,,Milestone,2006,GC,,,,,,
Radirgy Noa Massive,,,Milestone,2010,X360,,,,,,
Radirgy Precious,,,Milestone,2006,PS2,,,,,,
RadRiverRun,,,Microsoft,2009,XBL,,,,,,
Raft Rider,,,US Games,1982,2600,,,,,,
Rag Doll Kung Fu,,,Valve,2005,PC,,,,,,7
Rag Doll Kung Fu: Fists of Plastic,,,Sony Computer Entertainment,2009,PSN,,,,,,6.2
Rage of Bahamut,,,Mobage,2012,And,,,,,,
Rage of Mages,,,Monolith Productions,1998,PC,,,,,,
Rage of Mages II: Necromancer,,,Monolith Productions,1999,PC,,,,,,
Rage of the Dragons,,,Playmore,2002,NG,,,,,,
Rage of the Gladiator,,,Ghostfire Games,2010,WW,,,,,,8
Rage of the Immortals,,,GREE,2014,And,,,,,,
Rage Runner,,,Plug In Digital,2014,PC,,,,,,
Rage Runner,,,Plug In Digital,2014,OSX,,,,,,
Rageball,,,Agetec,2002,PS,,,,,,
Rageball,,,Midas Interactive Entertainment,2011,PSN,,,,,,
Raging Blades,,,Wanadoo,2003,PS2,,,,,,
Raging Fighter,,,Konami,1993,GB,,,,,,
Raging Thunder 2,,,Polarbit,2010,And,,,,,,
Ragnarok Online,,,Gravity Corporation,2002,PC,,,,,,
Ragnarok Online 2,,,Unknown,1970,PC,,,,,,
Ragnarok Valkyrie Uprising,,,NEOCYON,2013,And,,,,,,
Ragnarok: Hikari to Yami no Koujo,,,GungHo,2011,PSN,,,,,,
Raguy (CD),,,ADK,1994,NG,,,,,,
RahXephon: Soukyuu Gensoukyoku,,,Bandai,2003,PS2,,,,,,
Raibuon DS,,,Unknown,,DS,,,,,,
Raid 2020,,,Color Dreams,1989,NES,,,,,,
Raid on Bungeling Bay,,,Broderbund,1987,NES,,,,,,
Raiden,,,NEC,1991,PCE,,,,,,
Raiden,,,Fabtek,1994,AJ,,,,,,
Raiden,,,Telegames,1997,Lynx,,,,,,
Raiden,,,Acer,1994,PC,,,,,,
Raiden DX,,,Nihon System,1997,PS,,,,,,
Raiden Fighters Aces,,,Valcon Games,2010,XBL,,,,,,
Raiden II,,,GameBank,1997,PC,,,,,,
Raiden III,,,UFO Interactive,2007,PS2,,,,,,
Raiden III,,,CyberFront,2006,PC,,,,,,
Raiden III,,,UFO Interactive,2011,PSN,,,,,,
Raiden IV,,,UFO Interactive,2014,PS3,,,,,,
Raiden Trad,,,Electro Brain,1991,SNES,,,,,,
Raiden Trad,,,Micronet,1993,GEN,,,,,,
Raiden V,,,Moss,2016,XOne,,,,,,
RaiderZ,,,Perfect World Entertainment,2012,PC,,,,,,
Rail Gun Charlie,,,Microsoft,2009,XBL,,,,,,
Rail Nation,,,Travian Games GmbH,2013,PC,,,,,,
Rail Racing,,,Polarbit,2014,And,,,,,,
Rail Simulator 2: Railworks Platform,,,Electronic Arts,2009,PC,,,,,,
Raildale,,,Unknown,2014,OSX,,,,,,
Railfan: Taiwan Takatetsu,,,Ongakukan,2007,PS3,,,,,,
Railroad Pioneer,,,Nordic Games,2003,PC,,,,,,
Railroad Tycoon,,,Microprose,1990,PC,,,,,,
Railroad Tycoon II - The Second Century,,,Gathering of Developers,1999,PC,,,,,,8.7
Railroad Tycoon II Gold Edition,,,Gathering of Developers,2000,DC,,,,,,
Railroad Tycoon II Gold Edition,,,Gathering of Developers,2001,PC,,,,,,
Rampage World Tour,,,Midway Games,1997,PC,,,,,,
Rampage World Tour,,,Sony Online Entertainment,2007,PSN,,,,,,
Rampart,,,Electronic Arts,1992,SNES,,,,,,
Rampart,,,Jaleco,1992,NES,,,,,,
Rampart,,,Jaleco,1993,GB,,,,,,
Rampart,,,Atari,1991,Lynx,,,,,,
Rampart,,,Tengen,1991,MS,,,,,,
Rampart,,,Sony Online Entertainment,2007,PSN,,,,,,
Rampart,,,Tengen,1991,GEN,,,,,,
Rampart (GBC),,,Midway Games,1999,GB,,,,,,
Rampart (Japan),,,Konami,1991,NES,,,,,,
Rance Quest,,,Unknown,2011,PC,,,,,,
Rance: Hikari o Motomete,,,Alice Soft,1990,PC,,,,,,
Ranch Rush 2,,,Unknown,,GIZ,,,,,,
Random the Dungeon,,,Microsoft,2011,XBL,,,,,,
Ranger Wars,,,Unknown,,XBL,,,,,,
Ranger X,,,Sega,1993,GEN,,,,,,
Ranma 1/2,,,NCS,1990,PCE,,,,,,
Ranma 1/2: Battle Renaissance,,,Shogakukan,1996,PS,,,,,,
Ranma 1/2: Byakuran Aika,,,NCS,1993,SCD,,,,,,
Ranma 1/2: Chougi Ranbu Hen,,,Shogakukan,1994,SNES,,,,,,
"Ranma 1/2: Datou, Ganso Musabetsu Kakutou-ryuu!",,,NCS,1992,PCE,,,,,,
Ranma 1/2: Hard Battle,,,NCS,1993,SNES,,,,,,
Ranma 1/2: Kagugeki Mondou!!,,,Banpresto,1993,GB,,,,,,
Ranma 1/2: Netsuretsu Kakutouhen,,,Banpresto,1992,GB,,,,,,
Ranma 1/2: Ougi Jaanken,,,Shogakukan,1995,SNES,,,,,,
Ranma 1/2: Toraware no Hanayome,,,NCS,1991,PCE,,,,,,
Ranma 1/2:Kakuren Bodesu Match,,,Banpresto,1990,GB,,,,,,
Ranma-Chan no Ooeto Surogoku: Keio Yugekitai Gaiden,,,Victor Interactive,1998,PS,,,,,,
Rap Jam: Volume One,,,Mandigo,1995,SNES,,,,,,
Rapala Pro Bass Fishing 2010,,,Activision,2010,PSN,,,,,,
Rapala Pro Fishing,,,Activision,2004,PC,,,,,,
Rapala Tournament Fishing!,,,Activision,2011,XBL,,,,,,
Rapala Trophies,,,Activision,2009,PSN,,,,,,
RapeLay,,,Illusion Soft,2006,PC,,,,,,
Rapid Assault,,,IBM,1995,PC,,,,,,
Rapid Reload,,,Sony Computer Entertainment,2007,PSN,,,,,,
Rappelz,,,"Gala-Net, Inc.",2006,PC,,,,,,
Rappelz Epic VI: Solus Aurum,,,"Gala-Net, Inc.",2009,PC,,,,,,
Rappelz Epic VII Part 3: The Trial,,,Unknown,,PC,,,,,,
Rappelz Epic VII: Breath of Darkness,,,"Gala-Net, Inc.",2010,PC,,,,,,
rAPPidRevise GCSE History,,,Unknown,,GIZ,,,,,,
Raptor: Call of the Shadows,,,Apogee,1994,PC,,,,,,
Rascal Racers,,,Telegames,2004,PS,,,,,,
