Game,Total_Sales,Copies,Publisher,Year,Console,JP_Sales,NA_Sales,Other_Sales,EU_Sales,User_Score,Critic_Score
Super Mario 64 DS,,11.06,Nintendo,2004,DS,,,,,,8.6
Super Mario 64 DS,,11.06,Nintendo,2004,DS,,,,,,
Crash Bandicoot N. Sane Trilogy,,10,Activision,2017,All,,,,,,
Dark Souls III,,10,Bandai Namco Entertainment,2016,All,,,,,,
Super Smash Bros. Ultimate,,30.44,Nintendo,2018,NS,,,,,9.7,9.4
New Super Mario Bros. Wii,,30.32,Nintendo,2009,Wii,,,,,9.2,8.6
Tetris,,30.26,Nintendo,1989,GB,,,,,,
Call of Duty: Black Ops,,30,Activision,2010,All,,,,,,
Call of Duty: Modern Warfare,,30,Activision,2019,All,,,,,,
BioShock Infinite,,11,2K Games,2013,All,,,,,,
Civilization VI,,11,2K Games,2016,All,,,,,,
Dance Dance Revolution,,11,Konami,1998,Series,,,,,,
Fall Guys: Ultimate Knockout,,11,Devolver Digital,2020,PC,,,,,,
Far Cry 3,,10,Ubisoft,2012,All,,,,,,
Far Cry 4,,10,Ubisoft,2014,All,,,,,,
Far Cry 5,,10,Ubisoft,2018,All,,,,,,
FIFA 10,,10,EA Sports,2009,All,,,,,,
FIFA 12,,10,EA Sports,2011,All,,,,,,
Call of Duty: Modern Warfare 3,,30,Activision,2011,All,,,,,,
Command & Conquer,,30,Electronic Arts,1995,Series,,,,,,
Diablo III,,30,Blizzard Entertainment,2015,All,,,,,,
Final Fantasy XV,,10,Square Enix,2016,All,,,,,,
Horizon: Zero Dawn,,10,Sony Interactive Entertainment,2017,PS4,,,,,8,9.1
It Takes Two,,10,Electronic Arts,2021,All,,,,,,
Dying Light,,30,Techland,2015,Series,,,,,,
James Bond,,30,Parker Bros.,1983,Series,,,,,,
Just Dance 2,,10,Ubisoft,2010,Wii,,,,,,7.3
Just Dance 3,,10,Ubisoft,2011,Wii,,,,,,7.5
Killing Floor,,10,Tripwire Interactive,2009,Series,,,,,,
Marvel vs. Capcom,,10,Capcom,1996,Series,,,,,,
Mario & Sonic at the Olympic Games,,30,Sega,2007,Series,,,,,,
The Elder Scrolls V: Skyrim,,30,Bethesda Softworks,2011,All,,,,,,
Wii Play,,29.66,Nintendo,2007,Series,,,,,,
The Legend of Zelda: Breath of the Wild,,29,Nintendo,2017,NS,,,,,10,9.9
Monster Hunter World: Iceborne,,10,Capcom,2019,All,,,,,,
MX vs. ATV,,10,THQ Nordic,2001,Series,,,,,,
NBA 2K18,,10,2K Sports,2017,All,,,,,,
Nintendogs,,28.64,Nintendo,2005,Series,,,,,,
Splatoon,,28.38,Nintendo,2015,Series,,,,,,
NBA 2K22,,10,2K Sports,2021,All,,,,,,
Pitfall,,10,Activision,1982,Series,,,,,,
