Game,Publisher,Critic_Score,User_Score,Copies,Total_Sales,Year,Genre
Mega Man X,Capcom,,,1.16,,1994,Platform
Hanging With Friends Free,"Activision Publishing, Inc.",,,,,2013,Misc
Prince of Persia: The Sands of Time,Ubisoft,,,2.4,,2003,Action-Adventure
The Seven Deadly Sins: Knights of Britannia,Bandai Namco Entertainment,,,,0.1,2018,Fighting
Bubble Bobble also featuring Rainbow Islands,Acclaim Entertainment,,,,0.06,1996,Puzzle
PO'ed,Accolade,,,,0.04,1997,Shooter
The Pathless,Annapurna Interactive,,,,,2020,Adventure
Touge Max 2,Atlus,,,,,1998,Racing
Magicka 2,Paradox Interactive,,,0.86,,2015,Action
Broken Sword II: The Smoking Mirror,Virgin Interactive,,,0.75,,1997,Adventure
Hi Hi Puffy AmiYumi: Kaznapped,D3 Publisher,,,,0.06,2005,Action
The Final Station,TinyBuild Games,,,,,2018,Action
Rabbit x Labyrinth Episode 2,SilverStar,,,,,2011,Puzzle
Buzz! Junior: Robo Jam,Sony Computer Entertainment,,,,,2009,Misc
Space Invaders Revolution,Mastiff,,,,0.01,2005,Shooter
Blow,Vector 2 Games,,,,,2008,Puzzle
Mind Strike,Mattel Electronics,,,,,1983,Puzzle
VANITAS,Tale of Tales,,,,,2010,Misc
Woah Dave!,Gaijin Games Inc.,,,,,2015,Action
V.G. Rebirth Dash,Giga,,,,,2002,Adventure
Gravity Crash,Sony Computer Entertainment,6.5,6,,,2009,Shooter
Samurai Warriors 2,KOEI,5.6,,,0.61,2006,Action
Bokujou Monogatari: Harvest Moon for Girl,Victor Interactive,,,,,2000,Simulation
Arcane Legends,Spacetime Studios,,,,,2012,Adventure
Earthworm Jim 1 & 2: The Whole Can 'O Worms,Playmates,,,,,1996,Platform
The Headsman,Microsoft,,,,,2009,Misc
Cafe Cuillere,Takuyo,,,,0.01,2018,Visual Novel
Mad Rat Dead,NIS America,,,,,2020,Platform
Drive to Survive,VU Games,,,,,2006,Action
Chronos: Before the Ashes,THQ Nordic,,,,,2020,Role-Playing
Fur Fighters,Acclaim Entertainment,8.2,,,,2000,Shooter
ACA NEOGEO SENGOKU 3,Hamster Corporation,,,,,2018,Action
NBA Inside Drive 2004,Microsoft Game Studios,,,,0.17,2003,Sports
Street Fighter II': Champion Edition,NEC,,,,,1993,Fighting
The Labyrinth of Time,Electronic Arts,,,,,1993,Adventure
Cooking Mama 5,Office Create,,,,0.03,2013,Simulation
D-Force,Asmik Corp,,,,,1991,Action
Minimum Nanonic,NEC,,,,,1997,Adventure
Saint Paradise,Bandai,,,,,1992,Role-Playing
Smurfs Village,"Beeline Interactive, Inc.",,,,,2012,Misc
Celtic Kings: Rage of War,Strategy First,,,0.1,,2002,Strategy
Final Fantasy I,Square Enix,7,,,,2010,Role-Playing
Golden Tangram,Microsoft,,,,,2009,Puzzle
Hinterland,Independent,7,,,,2008,Strategy
Archer Maclean's 3D Pool,Crave Entertainment,,,,0.07,2004,Misc
Trauma Team,Atlus,8.1,,,0.17,2010,Simulation
Uki Uki Tsuri Tengoku: Kawa Monogatari,Unknown,,,,,1998,Sports
Space Hexcite: Metal Legend EX,Jorudan,,,,,2001,Puzzle
Trivial Pursuit,Electronic Arts,7.3,,,0.57,2009,Misc
Hatsune Miku: Project Diva 2nd,Sega,,,0.34,,2010,Misc
Shadow Tactics: Blades of the Shogun,Daedalic Entertainment,8.3,,0.41,,2016,Strategy
Test Drive 6,Atari,,,,0.72,1999,Racing
Ice Nine,BAM! Entertainment,3.8,,,,2005,Shooter
Who Wants to be a Millionaire? 2nd Edition,Zoo Digital Publishing,,,,,2004,Misc
Toudou Ryuunosuke Tantei Nikki: Aen no Koufune,fonfun,,,,0,2009,Adventure
The Alliance Alive,Atlus,7.3,,,0.11,2018,Role-Playing
Legend of Mana,Square,7.8,,1,,2000,Role-Playing
Kishin Korinden Oni,Banpresto,,,,,1994,Role-Playing
Minna de Taisen Puzzle: Shanghai Wii,Sunsoft,,,,,2009,Puzzle
Devil May Cry 5,Capcom,,,,,2019,Action
Glacier,Vitrex Multimedia,,,,,2005,Racing
Chess Pro,Cypronia,,,,,2013,Misc
Iron & Blood,Acclaim Entertainment,,,0.15,,1996,Fighting
Grand Theft Auto 2,Rockstar Games,6.9,,,3.42,1999,Action
Psikyo Shooting Stars Alpha,NIS America,,,,,2020,Shooter
Can you escape Mermaid Cage?,Unknown,,,,,2014,Action
Impact Racing,Acclaim Entertainment,,,,0.06,1996,Racing
The Settlers,Blue Byte,,,10,,1993,Strategy
Super Jinsei Game 3,Takara,,,,,1996,Misc
Mega Man 4,Capcom,,,,0.93,1992,Platform
ACA NEOGEO MAGICIAN LORD,Hamster Corporation,,,,,2017,Action
Sorayume Portable,Takuyo,,,,0,2009,Adventure
NBA Ballers: Phenom,Midway Games,,,,0.47,2006,Sports
World of Goo,Take-Two Interactive,9,,,0.03,2008,Puzzle
Skyward Collapse,"Arcen Games, LLC",,,,,2013,Misc
Mario Baseball,Nintendo,,,3.37,,2005,Sports
ORB 3D,Hi Tech Expressions,,,,,1990,Puzzle
Red Stone DS: Akaki Ishi ni Michibikareshi Monotachi,Unknown,,,,0.01,2011,Role-Playing
Cocoto Kart Racer,Conspiracy Entertainment,,,,0.06,2008,Racing
Super Buster Bros.,Capcom,,,,,1992,Action
Dragon Quest Monsters: Caravan Heart,Unknown,,,,0.66,2020,Role-Playing
Disney Sports Skateboarding,Konami,3.6,,,0.07,2002,Sports
Banishing Racer,Jaleco,,,,,1991,Racing
Brutal: Paws of Fury,CyberSoft,,,,,1994,Fighting
The Ren & Stimpy Show: Veediots!,THQ,,,,,1993,Platform
Agent Armstrong,Virgin Interactive,,,,,1999,Action
Titan Souls,Devolver Digital,,,0.35,,2015,Action
Office Affairs,Microsoft,,,,,2011,Misc
Dragon Egg!,NCS,,,,,1991,Platform
Earth Defense Force: Iron Rain,D3 Publisher,,,,,2019,Shooter
Soldier Boyz,DreamCatcher Interactive,,,,,1997,Action
Armored Assault,iEntertainment Network,,,,,2002,Simulation
Shadow Warrior (2013),Devolver Digital,,,,0.11,2014,Shooter
Mana Khemia: Student Alliance,Nippon Ichi Software,3.2,,,0.11,2009,Role-Playing
Guilty Gear -Strive-,Arc System Works,,,1,,2021,Fighting
One Piece Unlimited Cruise SP 2,Namco Bandai Games,,,,,2012,Misc
The Music Machine,Unknown,,,,,1983,Action
Samba De Amigo Ver. 2000,Sega,9.6,,,,2000,Misc
Arctic Escape,Teyon Entertainment,,,,,2011,Puzzle
Sengoku Hime 2 Arashi: Hyakubana Senran Tatsukaze no Gotoku,System Soft,,,,0.01,2010,Strategy
Botanicula,Amanita Design,,,0.33,,2012,Adventure
Light,Team17 Software,,,,,2014,Action
Minecraft,Mojang,,,238,,2011,Action-Adventure
SOCOM 4: U.S. Navy SEALs,Sony Computer Entertainment,7,,,0.9,2011,Shooter
DS:Style Series: Anata Dake no Private Lesson - DS de Hajimeru - Tipness no Yoga,Square Enix,,,,,2007,Sports
Criminal Girls,Nippon Ichi Software,,,,,2010,Adventure
Double Dragon II: The Revenge,Acclaim Entertainment,,,,,1990,Action
Fray: Shuugyouhen,Micro Cabin,,,,,1991,Role-Playing
Shining Force Feather,Sega,,,,0.06,2009,Strategy
3D Ultra MiniGolf Adventures 2,Konami,,,,,2010,Sports
Ghostship Aftermath,MAG Interactive,,,,,2014,Action
Shinjuku no Ookami,Spike,,,,0.01,2009,Action
Ganbare Goemon 2,Konami,,,,,1989,Platform
Conker: Live And Reloaded,Microsoft Game Studios,8.1,,,0.71,2005,Action-Adventure
Albert Odyssey: Legend of Eldean,Working Designs,7,,,,1997,Role-Playing
NASCAR Revolution SE,EA Sports,,,,,1999,Racing
Bubsy in: Claws Encounters of the Furred Kind,Accolade,,,,,1993,Platform
Fantastic Cube,Zoom,,,,,2010,Puzzle
Sadness,Unknown,,,,,2020,Adventure
Spellspire,10tons,,,,,2017,Puzzle
Command & Conquer Red Alert 2: Yuri's Revenge,Electronic Arts,9.2,,,,2001,Strategy
Blokus Portable: Steambot Championship,Majesco,,,,0.03,2008,Puzzle
Defense Grid: The Awakening,Hidden Path Entertainment,8,,0.56,,2008,Strategy
EZmuze: Break / House Edition,Microsoft,,,,,2008,Misc
2064: Read Only Memories INTEGRAL,MidBoss,,,,,2018,Adventure
Realms of Arkania Vol. 2: Star Trail,Sirtech,,,,,1994,Role-Playing
Borderlands 2,2K Games,,,,2.27,2012,Shooter
RockMan Strategy,Capcom,,,,,2001,Strategy
Cyber-Cop,Virgin Interactive,,,,,1992,Action
My Boyfriend,THQ,,,,0.11,2009,Simulation
Pro Cycling Season 2008: Le Tour de France,Focus Home Interactive,,,,,2008,Sports
Tetris Party Live,Tetris Online,,,,,2010,Puzzle
Space Giraffe,Llamasoft,,,,,2007,Shooter
Out Of Control,Avalon Interactive,,,,,1983,Action
Fisherman's Bait 2: Big Ol' Bass,Konami,,,,0.29,1999,Sports
Depth Hunter 2: Deep Dive,Biart Design Studio,,,0.11,,2014,Simulation
Avatar Bowman 2,Microsoft,,,,,2010,Fighting
Medal of Honor Heroes 2,Electronic Arts,6.6,,,1.16,2007,Shooter
@field,Sonic Powered,,,,,2012,Misc
Nightmare Creatures II,Konami,,,,0.17,2000,Action
Soukaigi,Square,,,,0.14,1998,Role-Playing
Air Force Special Ops Nightfall,Sony Interactive Entertainment,,,,,2017,Simulation
Kodomo no Tame no Yomi Kikase: Ehon de Asobou 2-Kan,Starfish,,,,,2006,Misc
Jikkyou Powerful Pro Yakyuu '96 Kaimakuban,Konami,,,,0.19,1996,Sports
Moon Hunters,Kitfox Games,,,,,2016,Action
Katekyoo Hitman Reborn Nerae!? Ring x Bongole Returns,Marvelous Interactive,,,,0.01,2008,Adventure
Wonder Project J: Kikai no Shonen Pino,Enix,,,,0.43,1994,Simulation
Mickey's Racing Adventure,Nintendo,,,,,1999,Racing
Doshin the Giant,Nintendo,6.8,,,0.14,2002,Simulation
Fantasy Life,Nintendo,6.9,,1.11,,2014,Role-Playing
Tabula Rasa,NCSoft,,,,,2007,Role-Playing
L: the proLogue to DEATH NOTE - Rasen no Wana,Konami,,,,0.09,2008,Adventure
Spec Ops II: Omega Squad,Ripcord Games,5.3,,,,2000,Shooter
Major League Baseball 2K13,2K Sports,,,,0.5,2013,Sports
Donald in Maui Mallard,Sega,,,,,1995,Platform
FabStyle,Tecmo Koei,,,,0.08,2011,Strategy
Street Racquetball,Agetec,,,,,2003,Sports
Daa! Daa! Daa! Totsuzen * Card de Battle de Uranai!?,Video System,,,,,2000,Misc
Magical Drop for WonderSwan,Data East,,,,,1999,Puzzle
Rebel Moon Rising,GT Interactive,,,,,1997,Shooter
Ultimate Mortal Kombat,Midway Games,7.3,,,0.09,2007,Fighting
Sol-Deace,Renovation,,,,,1992,Shooter
Gradius Deluxe Pack,Konami,,,,,1996,Shooter
Power Hour,Microsoft,,,,,2009,Misc
Desperados: Wanted Dead or Alive,Atari,,,,0,2001,Strategy
Voice Changer 360,Microsoft,,,,,2011,Misc
Muv-Luv,5pb,,,,0.01,2012,Misc
Chessmaster: The Art of Learning,Ubisoft,,,,0.15,2007,Misc
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Buena Vista,,,2,,2005,Action-Adventure
Mario Paint,Nintendo,,,2.31,,1992,Misc
The Fall: Last Days of Gaia,Unknown,,,,,2020,Role-Playing
European Soccer Challenge,Telegames,,,,,1993,Sports
The Battle of Yuu Yuu Hakusho: Shitou! Ankoku Bujutsukai! 120%,Banpresto,,,,0.03,2007,Fighting
Big Time Gangsta,Glu Mobile Inc.,,,,,2011,Misc
Circus Lido,Unknown,,,,,1991,Puzzle
Super Glove Ball,Mattel Interactive,,,,,1990,Action
Harvest Moon,Natsume,,,,,1997,Simulation
I Spy: Fun House,Scholastic Inc.,,,,0.82,2007,Puzzle
Mighty Gunvolt,Inti Creates,7.3,,,,2014,Action
StormLover Karen!!,D3 Publisher,,,,0.02,2011,Adventure
PGA Tour Golf 96,Electronic Arts,,,,,1995,Sports
Layers of Fear: Legacy,Bloober Team S.A.,,,,,2018,Adventure
House of Tarot,Sega,,,,,1991,Misc
Cocoto Festival,Big Ben Interactive,,,,,2009,Shooter
Injustice 2,Warner Bros. Interactive Entertainment,,,,1.72,2017,Fighting
Backyard NFL Football '09,Atari,,,,0.21,2008,Sports
Monster Guardians,Konami,,,,0.03,2001,Role-Playing
Plus Plum 2 Again,Takuyo,,,,,2006,Puzzle
State of War: Warmonger,Alten8,,,,,2006,Strategy
Hill Climb Racing,Fingersoft,,,,,2012,Misc
Sky Odyssey,Activision,,,,0.32,2000,Simulation
Nontan no Issho: Hoshino Okurimono,Victor Interactive,,,,,1995,Misc
SingStar Pop Vol.2,Sony Computer Entertainment,,,,0.19,2008,Misc
F-22 Air Dominance Fighter,Unknown,,,,,1997,Simulation
Darwinia+,Introversion,8,,,,2010,Strategy
Battleship (1999),Majesco,,,,,1999,Strategy
Space Math,Microsoft,,,,,2009,Misc
Anarchy: Rush Hour,Gaijin Entertainment,,,,,2010,Racing
Barbie: Ocean Discovery,Mattel Interactive,,,,,1999,Action
Stacked with Daniel Negreanu,Myelin Media,,,,0.07,2006,Misc
The King of Chicago,Mindscape,,,,,1987,Strategy
ACA NEOGEO PULSTAR,Hamster Corporation,,,,,2017,Shooter
TMNT: Mutant Melee,Konami,4.2,,,0.07,2005,Fighting
Sesame Street: Big Bird's Hide & Speak,Hi Tech Expressions,,,,,1990,Puzzle
Flips: The Magic Faraway Tree,Electronic Arts,,,,,2010,Misc
Lego Harry Potter: Years 1-4,Warner Bros. Interactive Entertainment,,,2.7,,2010,Action-Adventure
LoveR,Kadokawa Games,,,,,2019,Simulation
Mamoru-kun wa Norowarete Shimatta!,G.Rev,,,,0.01,2009,Shooter
Mushihimesama,Cave,,,,0.02,2012,Shooter
Hungry Ghosts,Sony Computer Entertainment,,,,,2003,Action
Crackdown 3,Microsoft Studios,,,,,2019,Action
Neverwinter Nights Diamond,Atari,,,,0.02,2005,Role-Playing
Dynasty Warriors 7 - Stage Pack 1,KOEI,,,,,2011,Action
Shaq-Fu: A Legend Reborn,Wired Productions,,,,0.02,2018,Action
Go! Puzzle (PSP),Sony Computer Entertainment,,,,,2008,Puzzle
Championship Bass,EA Sports,7.1,,,0.32,2000,Sports
Dangan,KSS,,,,,2000,Action
Bomberman 64: The Second Attack!,Vatical Entertainment,,,,0.17,2000,Adventure
What Makes You Tick: A Stitch in Time,Unknown,,,,,2010,Adventure
Imagine: Cheerleader,Ubisoft,,,,0.06,2009,Simulation
Simple 1500 Series Vol. 30: The Basketball,D3 Publisher,,,,,2000,Sports
Diabolik Lovers: More Blood,Idea Factory,,,,0.03,2015,Adventure
Pat Sajak Trivia Gems,uClick,,,,,2008,Puzzle
Wappy Dog,Activision,,,,0.28,2011,Simulation
X-Men Arcade,Konami,7.6,,,,2010,Action
Medal of Honor: Rising Sun,Electronic Arts,5.9,,,5.13,2003,Shooter
Fire & Ice,Tec Toy,,,,,1993,Platform
Arc the Lad: Kijin Fukkatsu,Bandai,,,,,2002,Role-Playing
Sid Meier's Civilization V - Wonders of the Ancient World Scenario Pack,2K Games,,,,,2011,Strategy
F.E.A.R. Files,Sierra Entertainment,6.9,,,0.09,2007,Shooter
Ni no Kuni: Wrath of the White Witch,Bandai Namco Entertainment,,,,,2019,Role-Playing
Pellmell,Microsoft,,,,,2009,Shooter
Taiko no Tatsujin: Tobikkiri! Anime Special,Namco,,,,,2005,Misc
Clover,Binary Tweed,,,,,2009,Platform
Sanctum,Coffee Stain Publishing,7.3,,,,2011,Strategy
Renegade Ops,Sega,10,,,,2011,Shooter
Fishing Freaks: BassRise Plus,Bandai,,,,,2000,Sports
DanceStar Party,Sony Computer Entertainment,,,,0.43,2011,Misc
Fairyland: Chronicle,Naarassusi Publisher,,,,,2018,Strategy
Tony Hawk: RIDE,Activision,4.3,,,0.94,2009,Sports
GemChase,Microsoft,,,,,2010,Action
Overlord II,Codemasters,,,,0.32,2009,Action
Mutants Genetic Gladiator,Meridian 4,,,,,2013,Misc
Fushigi no Dungeon: Fuurai no Shiren GB2: Sabaku no Majou,ChunSoft,,,,,2001,Role-Playing
Myst III: Exile,Ubisoft,,,1.5,,2001,Adventure
Shin 4-Jin Uchi Mahjong: Yakuman Tengoku,Nintendo,,,,,1991,Misc
Bible Adventures,Wisdom Tree,,,,,1995,Action
Jett: The Far Shore,Superbrothers,,,,,2020,Adventure
Vitrum,Unknown,,,,,2012,Misc
Sitio do Picapau Amarelo,Tec Toy,,,,,1997,Action
Grandia HD Collection,GungHo Online Entertainment,,,,,2019,Role-Playing
Dance with Devils,Rejet,,,,0.02,2016,Visual Novel
Naruto Shippuden: Legends: Akatsuki Rising,Namco Bandai,5.8,,,0.15,2009,Fighting
Animaniacs Ten Pin Alley,ASC Games,,,,0.66,1998,Sports
SpongeBob's Surf & Skate Roadtrip,THQ,,,,0.19,2011,Action
Daito Giken Koushiki Pachi-Slot Simulator: Ossu! Misao + Maguro Densetsu Portable,Paon,,,,0.02,2010,Misc
New Love Plus,Konami,,,,0.19,2012,Simulation
The Comedy Collection,Activision,,,,,1995,Adventure
Bonkers,Capcom,,,,,1994,Platform
Subject 9,Unknown,,,,,2013,Misc
Side Pocket 3,Data East,,,,,1997,Misc
Super Robot Taisen W,Banpresto,,,,0.3,2007,Strategy
Kirihara Shoten Forest: Eigo @ DS,Ertain,,,,,2009,Misc
F-15 Strike Eagle II,Microprose,,,,,1993,Simulation
Rings of Zilfin,Strategic Simulations,,,0.02,,1986,Role-Playing
DS Kageyama Method: Dennou Hanpuku - Tadashii Kanji Kakitori-Kun,Shogakukan,,,,0.1,2007,Misc
Eternal Darkness: Sanity's Requiem,Nintendo,9.3,,0.4,,2002,Adventure
Rez,Sega,9,,,0.05,2002,Shooter
Flanker 2.5,Ubisoft,,,,,2002,Simulation
Kira Kira Pop Princess,505 Games,,,,0,2008,Simulation
Dual Pack: Syphon Filter Logan's Shadow / Killzone Liberation,Sony Computer Entertainment,,,,,2011,Misc
Medal of Honor Allied Assault: War Chest,Electronic Arts,,,,0,2004,Shooter
Source,Fenix Fire,,,,,2015,Misc
Emerald Dragon,NEC Interchannel,,,,,1994,Role-Playing
Medarot 2: Parts Collection,Imagineer,,,,,1999,Role-Playing
Diner Dash 2,ValuSoft,,,,,2008,Puzzle
LEGO Indiana Jones: The Original Adventures,LucasArts,7.5,,,3.76,2008,Adventure
Sky Jinks,Activision,,,,,1982,Action
Jacob Jones and the Bigfoot Mystery,Sony Computer Entertainment,,,,,2013,Misc
Gamics Series Vol. 1: Yokoyama Mitsuteru - San Goku Shi - Vol. 4 - Sangoku Teiritsu,ASNetworks,,,,,2007,Strategy
Chaos;Head - Love Chu*Chu!,5pb,,,,0.04,2011,Adventure
Choplifter!,Atari,,,,,1984,Shooter
Super Power League 2,Hudson Soft,,,,0.33,1994,Sports
Wargame Construction Set,Strategic Simulations,,,0.06,,1986,Strategy
Roary the Racing Car,Avanquest,,,,0.09,2009,Misc
Daibanchou: Big Bang Age,Alice Soft,,,,,2003,Adventure
Ice and Fire,GT Interactive,,,,,1995,Action
Doraemon 2: Nobita no Toizurando Daibouken,Epoch,,,,0.05,1993,Role-Playing
Blokus,Gameloft,,,,,2010,Puzzle
Deadliest Warrior: Ancient Combat,Unknown,,,,0.04,2012,Fighting
Adventure 4 Pack,Unknown,,,,,2011,Adventure
Apache Overkill,Unknown,,,,,2010,Shooter
Instant Dungeon!,Desura,,,,,2014,Role-Playing
Marvel Land (Arcade),Namco Bandai,,,,,2009,Action
Singularity,Activision,7.8,,,0.24,2010,Shooter
Monaco: What's Yours Is Mine,Pocketwatch Games,8.9,,,,2013,Misc
Vampires: Todd & Jessica's Story,G5 Entertainment,,,,,2013,Misc
"Guns, Gore & Cannoli",Crazy Monkey,,,0.02,,2015,Action
Sharp Shot,Mattel Electronics,,,,,1982,Shooter
Flashback (2013),Ubisoft,,,,,2013,Misc
Dokapon: Monster Hunter,AIA,6.4,,,0,2001,Role-Playing
Gin no Eclipse,Nine'sFox,,,,,2008,Adventure
Koisuru Otome to Shugo no Tate: The Shield of AIGIS,Alchemist,,,,0.02,2008,Adventure
This is Football,Sony Computer Entertainment,,,,,1999,Sports
Mass Effect: Bring Down The Sky,Electronic Arts,5,,,,2008,Role-Playing
Farmtopia,505 Games,,,,0.19,2010,Simulation
Plague Inc.,Miniclip.com,,,,,2012,Misc
Lula Virtual Babe,Take-Two Interactive,,,,,1998,Simulation
Monster Band,DreamCatcher Interactive,,,,0.04,2009,Misc
Alien Shooter 2: Conscription,Sigma,,,,,2010,Shooter
Rise of the Guardians: The Video Game,D3Publisher,,,,0,2012,Action
myNotebook: Tan,Nnooo,,,,,2010,Misc
Shed,Microsoft,,,,,2008,Misc
Saints Row IV,Deep Silver,,,,1.33,2013,Action
Queen At Arms,Aqualuft Games,,,,,2015,Adventure
Chessmaster 6000,Mindscape,,,,,1998,Strategy
Nakayoshi All-Stars: Mezase Gakuen Idol,Creative Core,,,,0.01,2008,Misc
Kodomo Kyouiku TV Wii: Aiue-O-Chan,Home Media,,,,,2009,Misc
Monster Hunter 3 Ultimate,Capcom,8.7,,,0.71,2013,Role-Playing
Nano Diver,Takara Tomy,,,,0.02,2011,Action
Clock Tower: The First Fear,Human Entertainment,,,,0.12,1997,Adventure
Mystery Dungeon: Shiren the Wanderer,Sega,7.1,,,0.52,2008,Role-Playing
Cultures 2: The Gates of Asgard,JoWood Productions,,,,,2002,Strategy
Obulis,Meridian4,,,,,2009,Puzzle
FEDA Remake! The Emblem of Justice,Yanoman,,,,,1996,Strategy
Nitroplus Blasterz: Heroines Infinite Duel,Xseed Games,,,,0.05,2016,Fighting
Kamen Rider: Super Climax Heroes,Namco Bandai Games,,,,0.08,2012,Fighting
DJ Star,Deep Silver,,,,0.02,2009,Misc
Shadow Man,Acclaim Entertainment,,,,0.27,1999,Action
Benjamin Blümchen: Ein Tag im Zoo,Kiddinx,,,,,2009,Adventure
The Book of Unwritten Tales: The Critter Chronicles,Crimson Cow,,,,0.06,2011,Adventure
Quiz King of Fighters,SNK,,,,,1995,Misc
Battlestations: Pacific,Eidos Interactive,,,,0.32,2009,Strategy
Cowboy Baby,Triangle,,,,,1999,Adventure
ACA NEOGEO NAM-1975,Hamster Corporation,,,,,2017,Action
Serious Sam 4,Devolver Digital,,,,,2020,Action
Final Approach,Apollo,,,,,1982,Action
Police Quest: In Pursuit of the Death Angel,Sierra Entertainment,,,,,1987,Adventure
Rollerball,HAL Laboratory,,,,,1990,Misc
The Crew 2,Ubisoft,6.5,,,0.82,2018,Racing
Headhunter: Redemption,Sega,,,,0.04,2004,Action
Barbie and Her Sisters Puppy Rescue,Little Orbit,,,,0.04,2015,Action
Seifuku Densetsu: Pretty Fighter X,Imagineer,,,,,1995,Fighting
Spider-Man: Lethal Foes,Epoch,,,,,1995,Action
Space Ark,Microsoft,,,,,2010,Puzzle
Reality Fighters,Sony Computer Entertainment,,,,0.13,2012,Fighting
J.R.R. Tolkien's The Lord of the Rings Volume 1,Interplay,,,,,1994,Role-Playing
Frogger II: Threeedeep!,Parker Bros.,,,,0.33,1984,Action
Madden 97,Black Pearl,,,,,1996,Sports
Dynasty Warriors 6 Empires,KOEI,6.4,,,0.34,2009,Action
Supercow,Microsoft,,,,,2009,Platform
Wrestle Kingdom,Yuke's,,,,0.03,2006,Fighting
Chara Pasha! SpongeBob,Unknown,,,,,2011,Misc
Namco Classic II,Namco,,,,,1992,Sports
James Pond: Codename RoboCod,Codemasters,,,,0,2008,Platform
Valhalla Knights: Eldar Saga,Xseed Games,3.5,7.9,0.02,,2009,Role-Playing
Tales of Vesperia: Definitive Edition,Namco Bandai Games,,,1.5,,2019,Role-Playing
Heavenly Sword,Sony Computer Entertainment,8,,1.5,,2007,Action
DX Game of Life,Takara,,,,0.29,1996,Misc
Grandia: Parallel Trippers,Hudson Soft,,,,,2000,Role-Playing
Driving Simulator,Excalibur Publishing,,,,0,2010,Racing
Shining the Holy Ark,Sega,,,,,1997,Role-Playing
The Davis Cup Tennis,Micro World,,,,,1992,Sports
Exit the Gungeon,Devolver Digital,,,,,2020,Action
F.E.A.R.,Vivendi Games,,,,0.54,2007,Shooter
Shirogane x Spirits!,Technical Associates Inc,,,,0.02,2016,Adventure
Kula World,Sony Computer Entertainment,,,,,2007,Puzzle
Radirgy Noa Wii,Milestone,,,,0.01,2010,Shooter
Azkend,Myth People,,,,,2007,Puzzle
Menace,Psygnosis,,,0.02,,1988,Shooter
Backyard Sports Baseball 2007,Atari,,,,0.01,2006,Sports
Dinosaur Hunt,ANPA.US,,,0.13,,2015,Shooter
NCAA Football 12,EA Sports,7.8,,,1,2011,Sports
The Lost Kids,XPEC Entertainment,,,,,2014,Puzzle
Super Robot Taisen F,Banpresto,,,,0.55,1997,Action
N3 II: Ninety-Nine Nights,Konami,,,,0.17,2010,Action
Britney's Dance Beat,THQ,,,,0.24,2002,Misc
Capcom vs. SNK Pro,Capcom,7.7,,,,2002,Fighting
Bob Came in Pieces,Unknown,,,,,2010,Adventure
Gunship,Microprose,,,,0.27,1996,Simulation
Kidou Shinsengumi Moeyo Ken,Enterbrain,,,,,2002,Role-Playing
Puggsy,Psygnosis,,,,,1993,Platform
Sackboy: A Big Adventure,Sony Interactive Entertainment,,,,,2020,Platform
"Warhammer 40,000: Glory in Death",Nokia,,,,,2006,Strategy
Hakkou no Niidzuma: Watashi... Nigera Renai...,GokuFero,,,,,2011,Adventure
Reflex,Kiss,,,,,1993,Misc
Mario no Photopi,Tokyo Electron,,,,,1998,Misc
Bishoujo Senshi Sailormoon R,Bandai,,,,0.27,1993,Fighting
The God of War Trilogy,Sony Computer Entertainment,,,,0.12,2010,Action
Alpha Squad,Microsoft,,,,,2011,Shooter
King's Quest II: Romancing the Throne,Sierra Entertainment,,,,,1985,Adventure
Amazing Wizard,Microsoft,,,,,2008,Puzzle
Kid Tripp,Four Horses,,,,,2017,Platform
SWAT 3: Elite Edition,Sierra Entertainment,,,,,2000,Shooter
Curse,Micronet,,,,,1989,Shooter
Armor Ambush,Mattel Interactive,,,,0.17,1982,Action
"Hey You, Pikachu!",Nintendo,,,1.83,,2000,Simulation
Final Fantasy X/X-2 Ultimate Box,Square Enix,,,,,2005,Role-Playing
Ports,Excalibur Publishing Limited,,,,,2011,Simulation
Dragon Ball Z: Budokai Tenkaichi 2,Atari,,,1.65,,2006,Fighting
SonSon (Arcade),Capcom,,,,,2010,Platform
Delta Force: Black Hawk Down - Team Sabre,NovaLogic,,,,,2006,Shooter
Supermarket Mania,Viva Media,,,,0,2009,Simulation
Shanghai: The Great Wall,NEC Interchannel,,,,,1996,Puzzle
Musicus,Microsoft,,,,,2009,Misc
StarBlade (Arcade),Namco Bandai,,,,,2009,Shooter
Star Wars Jedi Knight: Mysteries of the Sith,LucasArts,,,,,1998,Shooter
Sega Ages 2500 Series Vol. 13: OutRun,Sega,,,,,2004,Racing
Hollow,Forever Entertainment S.A.,,,,,2018,Adventure
Oekaki Puzzle 2,Success,,,,,2000,Puzzle
Evochron Renegades,Unknown,,,,,2007,Simulation
Cybermorph,Atari,,,,,1993,Shooter
Mushroom Wars,Creat Studio,,,,,2009,Strategy
Hoppechan: Minna de Odekake! Waku Waku Hoppe Land!!,Nippon Columbia,,,,0.07,2014,Action
Grand Theft Auto: The Trilogy,Rockstar Games,,,,1.14,2005,Adventure
Sakigake!! Otokojuku - Nihon yo Kore ga Otoko Dearu!,Namco Bandai Games,,,,0.01,2014,Misc
Trauma,Unknown,,,,,2011,Adventure
Cities: Skylines Snowfall,Paradox Development,,,,0.01,2016,Simulation
Police Quest Collection,Sierra Entertainment,,,,,2006,Strategy
