Game,Publisher,Critic_Score,User_Score,Copies,Total_Sales,Year,Genre
LittleBigPlanet 2: Special Edition,Sony Computer Entertainment,,,,,2011,Platform
Disney's Mulan,THQ,,,,,1998,Platform
Kidz Sports: Basketball,Bold Games,,,,0.01,2008,Sports
Awakening: The Redleaf Forest,Big Fish Games,,,,,2014,Adventure
Ancient Domains of Mystery,Unknown,,,,,1994,Role-Playing
Dynamic Country Club,Sega,,,,,1993,Sports
Trap Gunner: Countdown to Oblivion,Atlus,,,,0.03,1998,Strategy
Budokan: The Martial Spirit,Electronic Arts,,,,,1990,Sports
Beniiro Tenjou Ayakashi Kitan Futaai,Dramatic Create,,,,0,2018,Adventure
Uchuujin Tanaka Tarou de RPG Tsukuuru GB2,Enterbrain,,,,,2001,Role-Playing
Star Wars Episode I: The Phantom Menace,LucasArts,,,,1.74,1999,Adventure
Kosodate Quiz: My Angel,Namco,,,,,1997,Misc
Battlefield 1,Electronic Arts,9.1,,,0.77,2016,Shooter
"Final Liberation: Warhammer Epic 40,000",Strategic Simulations,,,,,1997,Strategy
NASCAR SimRacing,EA Sports,,,,,2005,Racing
Fist of the North Star,Taxan,,,,,1989,Action
Dragon Money,Sony Computer Entertainment,,,,,2010,Puzzle
Frogwares' Sherlock Holmes,The Adventure Company,,,3,,2003,Adventure
Star Luster,Namco Bandai,,,,,2008,Simulation
Dragon Quest Wars,Square Enix,8.5,,,,2009,Strategy
Championship Tennis,Dextell Ltd.,,,,,1985,Sports
Shonen Jump's Shaman King: Master of Spirits,Konami,,,,0.14,2004,Role-Playing
Woodle Tree Adventures,Chubby Pixel,,,,,2017,Adventure
Hissatsu Pachinko Station Now 6,Sunsoft,,,,,2000,Misc
Influent,Three Flip Studios,,,0.11,,2014,Education
Jissen Pachi-Slot Hisshouhou! Onimusha 3,Sega,,,,,2005,Misc
Buckle Up!,Shangri-La,,,,,1998,Racing
Kung Fu Master,Irem Software Engineering,,,,,1991,Action
NCAA Gamebreaker 99,989 Studios,,,,0.45,1998,Sports
To Heart 2,Aquaplus,,,,,2004,Adventure
Logo Pop Quiz - What's the Icon Game Free,Unknown,,,,,2013,Action
Picross S3,Jupiter Corporation,,,,,2019,Puzzle
Naxat Open,Naxat Soft,,,,,1989,Sports
Worms: Ultimate Mayhem,Unknown,,,0.49,,2011,Strategy
Battlemaniacs,Tec Toy,,,,,1993,Action
Barbie Fashion Show,VU Games,,,,,2004,Misc
Soul Star,Victor Interactive,,,,,1994,Shooter
Europa Universalis III: Napoleon's Ambition,GamersGate,,,,,2007,Strategy
Valis IV,Nippon Telenet,,,,,1991,Platform
FlatOut,Vivendi Games,,,1,,2005,Racing
Bomberman Hero,Nintendo,,,,0.47,1998,Platform
Lunatic Dawn FX,NEC Interchannel,,,,,1995,Role-Playing
Meitantei Conan: Kieta Hakase to Machigai Sagashi no Tou,Namco Bandai,,,,0.02,2008,Adventure
Sudoku Student,Hudson Entertainment,,,,,2009,Puzzle
Zombies Hate Aliens!,Microsoft,,,,,2011,Shooter
Puyo Pop,THQ,,,,0.05,2002,Puzzle
Blonde Justice,Vivid Interactive,,,,,1994,Misc
Age of Empires II: The Conquerors,Microsoft,,,,,2000,Strategy
DragonStrike,Strategic Simulations,,,0.03,,1990,Misc
Mega Man Zero Collection,Capcom,7.5,,,0.31,2010,Platform
Mysterium,Asmik Corp,,,,,1993,Role-Playing
Bust-A-Move Universe,Square Enix,5.6,,,0.31,2011,Puzzle
Sing Party,Nintendo,6.8,,,0.3,2012,Party
Party Golf,Giant Margarita,,,,,2017,Sports
Laser Volley,Zellers,,,,,1983,Shooter
Black College Football Experience - The Doug Williams Edition,Aspyr,,,,,2009,Sports
Destruction Derby,Psygnosis,,,1,,1995,Racing
Shinseiki Evangelion: Battle Orchestra Portable,Broccoli,,,,0.01,2009,Fighting
Color 8 Puzzle,Unknown,,,,,2016,Action
"Freakyforms: Your Creations, Alive!",Nintendo,,,,,2011,Action
Avernum 5,Spiderweb Software,,,,,2008,Role-Playing
Dillon's Dead-Heat Breakers,Nintendo,7,,,0,2018,Action
Cities XL 2011,Focus Home Interactive,,,,0.02,2010,Simulation
Go Go Ackman 2,Banpresto,,,,,1995,Platform
Metal Gear Survive,Konami Digital Entertainment,,,,0.23,2018,Action
Wheel of Fortune,Hasbro Interactive,,,,1.26,1998,Misc
Need for Speed Heat,Electronic Arts,,,,,2019,Racing
Street Fighter III: Double Impact,Capcom,8,,,,2000,Fighting
RealSports Soccer,Atari,,,,,1983,Sports
Waku Waku Bowling,Coconuts Japan,,,,,1998,Sports
Spyro: Season of Ice,Vivendi Games,,,,2.23,2001,Platform
Photo Kano Kiss,Kadokawa Shoten,,,,0.07,2013,Simulation
MDK2 Armageddon,Interplay,,,,0.17,2001,Shooter
Janken Party Paradise,Studio Zan,,,,,2010,Misc
Blade Warrior,Phantagram,,,,,1997,Action
Bravely Default: Praying Brage,Square Enix,,,,,2012,Role-Playing
Saint Seiya: Typing Ryu Sei Ken,Bandai,,,,,2003,Action
Txingurri,Microsoft,,,,,2009,Puzzle
Mario Golf,Nintendo,9,,1.47,,1999,Sports
HappinessCharge PreCure! Kawarun Collection,Namco Bandai Games,,,,0.03,2014,Misc
Super Skweek,Atari,,,,,1991,Action
Harukanaru Toki no Naka de: Mai Hito Yo,KOEI,,,,,2006,Adventure
"Marie, Elie & Anis no Atelier: Soyokaze kara no Dengon",Banpresto,,,,,2003,Role-Playing
2 Fast 4 Gnomz,QubicGames,,,,,2012,Misc
The City of Metronome,Unknown,,,,,2020,Adventure
Ice Trek,Imagic,,,,,1983,Action
Tom Clancy's Rainbow Six: Extraction,Ubisoft,,,,,2020,Shooter
Imperial SaGa,Square Enix,,,,,2016,Role-Playing
Jeopardy! Deluxe,Encore,,,,,2007,Misc
Hayate no Gotoku! Boku ga Romeo de Romeo ga Boku de,Konami,,,,,2007,Simulation
Slotter Mania Gaiden,Dorart,,,,,2002,Misc
Bo Jackson's Hit and Run! Baseball and Football,THQ,,,,,1991,Sports
Black Gold,Unknown,,,,,2020,Misc
Puyo Puyo 7,Sega,,,0.19,,2009,Puzzle
Freedom Force vs The 3rd Reich,Sierra Entertainment,,,,0,2005,Role-Playing
Kill Fun Yeah,Unknown,,,,,2014,Misc
Fit in Six,Ubisoft,,,,0.13,2011,Sports
International Track & Field 2000,Konami,,,,0.11,1999,Sports
MechWarrior 2: Ghost Bear's Legacy,Activision,,,,,1995,Simulation
Escapee GO!,Gevo Entertainment,,,,,2010,Adventure
DT Racer,XS Games,,,,0.13,2005,Racing
Star Wars: Episode III – Revenge of the Sith,LucasArts,,,1,,2005,Action
Famicom Tantei Club Part II: Ushiro ni Tatsu Shoujo (FDS),Nintendo,,,,,1989,Adventure
Spirit Camera: The Cursed Memoir,Nintendo,5.7,,,0.25,2012,Action-Adventure
Mahjong Gakuensai,Unknown,,,,,1997,Misc
Dungeons,Kalypso,6.5,,,0.09,2011,Strategy
Hyrule Warriors,Nintendo,,,5,,2014,Action
BloodRayne: Betrayal,Majesco,7.5,,,,2011,Shooter
4-in-1 Funpak: Volume II,Interplay,,,,,1993,Misc
Double-Ender: Artillery Duel / Ghost Manor,Xonox,,,,,1983,Action
Mercury Hg,Ignition Entertainment,,,,,2011,Puzzle
Samurai G,UFO Interactive,,,,,2012,Misc
Fire Emblem: Shin Monshou no Nazo Hikari to Kage no Eiyuu,Nintendo,,,,0.27,2010,Strategy
Kanuchi: Shiroki Tsubasa no Shou,Idea Factory,,,,0.04,2008,Adventure
Heavy Fire: Black Arms,Teyon Entertainment,,,,,2011,Shooter
Killzone 3: Steel Rain Map Pack,Sony Computer Entertainment,,,,,2011,Shooter
